time (UTC),latitude (degrees_north),longitude (degrees_east),TEMP_SBE37_MEAN (degree_C)
2021-08-02 23:05:00+00:00,19.6386624,-65.488768,28.5977
2021-08-02 23:10:00+00:00,19.6403824,-65.4888704,28.6099
2021-08-02 23:15:00+00:00,19.6422224,-65.489024,28.6049
2021-08-02 23:20:00+00:00,19.6440544,-65.489152,28.5954
2021-08-02 23:25:00+00:00,19.6457648,-65.4892864,28.5824
2021-08-02 23:30:00+00:00,19.6475696,-65.4894336,28.5821
2021-08-02 23:35:00+00:00,19.6495344,-65.4896064,28.5777
2021-08-02 23:40:00+00:00,19.6516208,-65.4897088,28.5725
2021-08-02 23:45:00+00:00,19.6535296,-65.4898496,28.5667
2021-08-02 23:50:00+00:00,19.6552704,-65.489952,28.5669
2021-08-02 23:55:00+00:00,19.6573568,-65.4901248,28.554
2021-08-03 00:00:00+00:00,19.6593872,-65.4902464,28.5568
2021-08-03 00:05:00+00:00,19.6612016,-65.490432,28.5503
2021-08-03 00:10:00+00:00,19.6628832,-65.4905856,28.5467
2021-08-03 00:15:00+00:00,19.6648192,-65.490656,28.5558
2021-08-03 00:20:00+00:00,19.6668416,-65.490784,28.5546
2021-08-03 00:25:00+00:00,19.6688752,-65.4909248,28.5493
2021-08-03 00:30:00+00:00,19.6709264,-65.4910464,28.5247
2021-08-03 00:35:00+00:00,19.672872,-65.4911872,28.5465
2021-08-03 00:40:00+00:00,19.67476,-65.4912896,28.5425
